	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
ENSDARG00000087390.6	0.00772057583668852	-2.54862546163029	0.193	0.22	1	8	ENSDARG00000087390
ENSDARG00000036832.4	0.00811722381259138	-1.33843665690048	0.224	0.244	1	8	ENSDARG00000036832
ENSDARG00000044861.4	0.00838791692291784	-1.27714228223496	0.078	0.106	1	8	ENSDARG00000044861
ENSDARG00000093608	0	2.96490700881637	0.326	0.027	0	9	ENSDARG00000093608
ENSDARG00000043436	0	2.57486660376039	0.385	0.009	0	9	ENSDARG00000043436
ENSDARG00000095556.2	0	2.53956569162042	0.911	0.332	0	9	ENSDARG00000095556
ENSDARG00000088091.5	0	2.36267717849506	0.903	0.315	0	9	ENSDARG00000088091
ENSDARG00000056874	0	2.3162623727728	0.426	0.044	0	9	ENSDARG00000056874
ENSDARG00000104077	0	2.28878945503239	0.495	0.01	0	9	ENSDARG00000104077
ENSDARG00000027063	0	2.19297216516622	0.694	0.051	0	9	ENSDARG00000027063
ENSDARG00000074322	0	2.18941709676556	0.3	0.003	0	9	ENSDARG00000074322
ENSDARG00000109648	0	2.13091402971311	0.305	0.005	0	9	ENSDARG00000109648
ENSDARG00000055186	0	2.12583598398143	0.481	0.008	0	9	ENSDARG00000055186
ENSDARG00000090783	0	1.99594931208479	0.277	0.006	0	9	ENSDARG00000090783
ENSDARG00000054610	0	1.91372362707011	0.615	0.008	0	9	ENSDARG00000054610
ENSDARG00000044129	0	1.88865083011159	0.282	0.008	0	9	ENSDARG00000044129
ENSDARG00000040528	0	1.8444143954546	0.215	0.006	0	9	ENSDARG00000040528
ENSDARG00000077069	0	1.79740394229065	0.413	0.04	0	9	ENSDARG00000077069
ENSDARG00000041959	0	1.76829920239363	0.413	0.018	0	9	ENSDARG00000041959
ENSDARG00000098293	0	1.75862903567459	0.515	0.016	0	9	ENSDARG00000098293
ENSDARG00000023188	0	1.74304046858762	0.545	0.008	0	9	ENSDARG00000023188
ENSDARG00000088745	0	1.7322936729412	0.205	0.003	0	9	ENSDARG00000088745
ENSDARG00000054942	0	1.71776254611947	0.389	0.042	0	9	ENSDARG00000054942
ENSDARG00000101785	0	1.6159396414367	0.527	0.006	0	9	ENSDARG00000101785
ENSDARG00000105408	0	1.61407311971135	0.455	0.049	0	9	ENSDARG00000105408
ENSDARG00000038010	0	1.60168370100389	0.582	0.033	0	9	ENSDARG00000038010
ENSDARG00000099672	0	1.54703236017417	0.515	0.037	0	9	ENSDARG00000099672
ENSDARG00000105592	0	1.51941212282002	0.237	0.008	0	9	ENSDARG00000105592
ENSDARG00000104399	0	1.51045759871378	0.142	0.001	0	9	ENSDARG00000104399
ENSDARG00000040178	0	1.50410015995757	0.234	0.003	0	9	ENSDARG00000040178
ENSDARG00000026829	0	1.48426490124662	0.71	0.154	0	9	ENSDARG00000026829
ENSDARG00000017653	0	1.44723339354791	0.473	0.008	0	9	ENSDARG00000017653
ENSDARG00000004034	0	1.42093447880395	0.576	0.078	0	9	ENSDARG00000004034
ENSDARG00000095801	0	1.39633336928414	0.185	0.003	0	9	ENSDARG00000095801
ENSDARG00000026350	0	1.38832633379304	0.46	0.006	0	9	ENSDARG00000026350
ENSDARG00000068233	0	1.36842292161494	0.485	0.004	0	9	ENSDARG00000068233
ENSDARG00000070542	0	1.30443618891151	0.25	0.006	0	9	ENSDARG00000070542
ENSDARG00000086337	0	1.26810062382504	0.256	0.005	0	9	ENSDARG00000086337
ENSDARG00000101169	0	1.21899154553589	0.427	0.005	0	9	ENSDARG00000101169
ENSDARG00000079387	0	1.18123007070339	0.379	0.004	0	9	ENSDARG00000079387
ENSDARG00000025903	0	1.17515747419574	0.198	0.003	0	9	ENSDARG00000025903
ENSDARG00000090873	0	1.15738967732628	0.153	0.001	0	9	ENSDARG00000090873
ENSDARG00000042876	0	1.09289925977933	0.473	0.066	0	9	ENSDARG00000042876
ENSDARG00000067797	0	1.08437160703392	0.282	0.003	0	9	ENSDARG00000067797
ENSDARG00000094112	0	1.06178264106069	0.219	0.006	0	9	ENSDARG00000094112
ENSDARG00000000767	0	1.0347105572596	0.279	0.003	0	9	ENSDARG00000000767
ENSDARG00000036628	0	1.0279623381364	0.181	0.002	0	9	ENSDARG00000036628
ENSDARG00000055290	0	1.02776430269564	0.208	0.002	0	9	ENSDARG00000055290
ENSDARG00000089667	0	1.0166039968023	0.163	0.003	0	9	ENSDARG00000089667
ENSDARG00000074656	0	1.01625781682827	0.273	0.002	0	9	ENSDARG00000074656
ENSDARG00000042927	1.57414004253851e-306	1.04647779904155	0.381	0.043	3.45822825945285e-302	9	ENSDARG00000042927
ENSDARG00000089362	1.1026618703479e-305	2.19323167262709	0.256	0.018	2.42243786296731e-301	9	ENSDARG00000089362
ENSDARG00000003902	1.35271512913268e-298	2.6054289382293	0.289	0.025	2.97177986719158e-294	9	ENSDARG00000003902
ENSDARG00000003931	1.04914235915919e-254	1.14102648181281	0.327	0.038	2.30486084883683e-250	9	ENSDARG00000003931
ENSDARG00000013771	1.09230270729202e-253	1.50699603721444	0.308	0.034	2.39967981764983e-249	9	ENSDARG00000013771
ENSDARG00000077777.1	4.3711686776779e-236	1.59807175674557	0.981	0.788	9.60302046799057e-232	9	ENSDARG00000077777
ENSDARG00000036074	1.2193157062493e-229	1.11979615864872	0.318	0.04	2.67871467505908e-225	9	ENSDARG00000036074
ENSDARG00000101334	3.66609528475061e-224	1.23797859169483	0.273	0.03	8.05404473106862e-220	9	ENSDARG00000101334
ENSDARG00000055504	4.48787720587931e-201	1.11070624465504	0.366	0.059	9.85941743359626e-197	9	ENSDARG00000055504
ENSDARG00000088439	8.29048125717054e-201	1.16553428359817	0.331	0.049	1.8213358273878e-196	9	ENSDARG00000088439
ENSDARG00000042725.2	1.84300414762484e-181	1.61946258850296	0.679	0.245	4.04889581191701e-177	9	ENSDARG00000042725
ENSDARG00000037870	5.63946235221984e-179	1.3924265759091	0.974	0.819	1.23893348415918e-174	9	ENSDARG00000037870
ENSDARG00000057882	3.15488162468691e-175	1.17345310690861	0.65	0.219	6.93095944127467e-171	9	ENSDARG00000057882
ENSDARG00000099839	1.44852030766258e-162	1.80134499820887	0.145	0.011	3.18225426390391e-158	9	ENSDARG00000099839
ENSDARG00000075989	4.9002690101719e-156	1.03287634972007	0.624	0.218	1.07654009884466e-151	9	ENSDARG00000075989
ENSDARG00000037746	4.56045473141596e-148	1.3110221546129	0.839	0.489	1.00188629994477e-143	9	ENSDARG00000037746
ENSDARG00000055120	1.43266516590761e-114	1.71347318726271	0.453	0.149	3.14742210298242e-110	9	ENSDARG00000055120
ENSDARG00000034650	5.02407632688545e-112	1.1974447119338	0.129	0.013	1.10373932825347e-107	9	ENSDARG00000034650
ENSDARG00000044254	6.57777163950531e-93	1.03310607210739	0.255	0.057	1.44507065148292e-88	9	ENSDARG00000044254
ENSDARG00000057853	1.23817885754794e-86	1.26538237583753	0.442	0.165	2.72015513214707e-82	9	ENSDARG00000057853
ENSDARG00000013968	2.03038152606031e-75	1.15431660526622	0.477	0.198	4.4605451746019e-71	9	ENSDARG00000013968
ENSDARG00000043081	9.73903002727471e-75	1.09976971555911	0.258	0.069	2.13956750669198e-70	9	ENSDARG00000043081
ENSDARG00000024540	4.90508945303617e-69	1.15230226884607	0.365	0.136	1.07759910193752e-64	9	ENSDARG00000024540
ENSDARG00000087303.1	8.54929568196728e-50	-1.34614114590072	0.174	0.453	1.87819476837139e-45	9	ENSDARG00000087303
ENSDARG00000031776	6.25284686888888e-40	1.27918397653629	0.761	0.536	1.3736879286262e-35	9	ENSDARG00000031776
ENSDARG00000053684.4	4.97240343181857e-31	-1.23124194459223	0.219	0.426	1.09238730993622e-26	9	ENSDARG00000053684
ENSDARG00000013430.3	1.32698443242393e-27	-1.19973187888486	0.152	0.342	2.91525209959213e-23	9	ENSDARG00000013430
ENSDARG00000038559	8.77111030951939e-27	-1.06575423074446	0.179	0.369	1.92692522389832e-22	9	ENSDARG00000038559
ENSDARG00000019353.3	2.27598472206292e-26	-1.04006959725864	0.103	0.293	5.00011083590002e-22	9	ENSDARG00000019353
ENSDARG00000101199.7	1.06523612840007e-25	-1.49919209943961	0.265	0.426	2.34021725048212e-21	9	ENSDARG00000101199
ENSDARG00000105223.4	2.56780175584148e-25	-1.26174336283812	0.098	0.273	5.64120367740814e-21	9	ENSDARG00000105223
ENSDARG00000020708.4	4.3070640894371e-21	-1.23897859882889	0.089	0.248	9.46218909808436e-17	9	ENSDARG00000020708
ENSDARG00000018404.1	2.35746779835007e-19	-1.05630788228792	0.089	0.236	5.17912100619526e-15	9	ENSDARG00000018404
ENSDARG00000055455.5	3.03641788312487e-19	-1.16717167309568	0.071	0.216	6.67070644743703e-15	9	ENSDARG00000055455
ENSDARG00000036036.3	3.00061516702491e-18	-1.22682317064446	0.124	0.274	6.59205146043702e-14	9	ENSDARG00000036036
ENSDARG00000020007.4	3.67652935741023e-18	-1.0744994539388	0.068	0.207	8.07696734529453e-14	9	ENSDARG00000020007
ENSDARG00000004621.5	6.57789321506017e-17	-1.29706830736799	0.077	0.21	1.44509736041657e-12	9	ENSDARG00000004621
ENSDARG00000007275.6	7.48003106945179e-15	-1.4827861224652	0.198	0.316	1.64328802564786e-10	9	ENSDARG00000007275
ENSDARG00000012405.5	1.46540278766276e-12	-1.28957268519822	0.113	0.224	3.21934338421631e-08	9	ENSDARG00000012405
ENSDARG00000071626.3	2.72773388797762e-10	-1.23212816992257	0.126	0.222	5.99255857849803e-06	9	ENSDARG00000071626
